station,line_number,passengers_sum_for_every_day,station_number,passengers,line_name_АРБАТСК-ПОКРОВСК,line_name_БКЛ,line_name_БУТОВСКАЯ ЛИНИЯ,line_name_ЗАМОСКВОРЕЦКАЯ,line_name_КАЛИНИНСКАЯ,line_name_КАЛУЖСКО-РИЖСКАЯ,line_name_КОЛЬЦЕВАЯ,line_name_ЛЮБЛИНСКАЯ,line_name_МЦК,line_name_НЕКРАСОВСКАЯ,line_name_СЕРПУХОВ-ТИМИРЯЗ,line_name_СОКОЛЬНИЧЕСКАЯ,line_name_СОЛНЦЕВСКАЯ ЛИН.,line_name_ТАГАНСК-КРАСНОПР,line_name_ФИЛЁВСКАЯ
тверская,9,938994,29,4589,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
маяковская,9,948163,30,10517,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
белорусская,9,1029229,31,6646,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
динамо,9,1039735,32,10304,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
аэропорт,9,979350,33,5462,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
сокол,9,1091028,34,4792,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
войковская,9,993309,35,7089,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
водный стадион,9,1033561,36,16794,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
речной вокзал,9,970301,37,11878,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
каширская,9,912626,38,5708,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
киевская,12,973993,39,18221,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
смоленская,12,1053795,40,12919,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
арбатская,12,1001116,41,9476,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
площадь революции,12,968816,42,1108,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
курская,12,988818,43,12812,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
бауманская,12,905326,44,3088,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
электрозаводская,12,953899,45,3138,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
семеновская,12,973499,46,2544,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
партизанская,12,968653,47,1086,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
измайловская,12,1045903,48,10242,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
первомайская,12,1087152,49,9183,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
щелковская,12,920312,50,18259,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
александровский сад,13,1065220,51,9506,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
студенческая,13,961802,52,16636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
кутузовская,13,935893,53,11917,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
фили,13,976838,54,1764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
багратионовская,13,960442,55,17487,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
филевский парк,13,1004470,56,9563,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
пионерская,13,976265,57,16705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
кунцевская,13,1013569,58,3067,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
молодежная,12,992608,59,18991,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
крылатское,12,895626,60,2515,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
новослободская,609,983994,61,18027,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
проспект мира,609,945631,62,19508,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
таганская,609,963768,63,16347,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
добрынинская,609,1060324,64,16979,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
октябрьская,609,862205,65,5571,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
краснопресненская,609,993593,66,13099,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
новогиреево,14,962242,67,3752,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
перово,14,1032507,68,19395,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
шоссе энтузиастов,14,1130735,69,10619,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
авиамоторная,14,858582,70,7323,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
площадь ильича,14,926671,71,12612,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
марксистская,14,989745,72,3127,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
третьяковская,14,1001446,73,14617,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
медведково,15,949689,74,15115,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
бабушкинская,15,1113731,75,5477,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
свиблово,15,970335,76,14790,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ботанический сад,15,1011990,77,11293,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
вднх,15,1020246,78,2798,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
алексеевская,15,1019483,79,7282,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
рижская,15,976964,80,3015,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
сухаревская,15,977670,81,10993,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
тургеневская,15,978459,82,13522,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
китай город,15,1022079,83,15940,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
шаболовская,15,963991,84,5552,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ленинский проспект,15,979828,85,8503,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
академическая,15,1024642,86,11510,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
профсоюзная,15,988000,87,7080,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
новые черемушки,15,974144,88,10550,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
калужская,15,934808,89,9554,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
беляево,15,995007,90,16936,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
коньково,15,881897,91,1409,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
теплый стан,15,948870,92,2596,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ясенево,15,974092,93,5297,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
новоясеневская,15,955632,94,4978,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
выхино,16,884807,95,17940,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
рязанский проспект,16,963921,96,4897,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
кузьминки,16,997466,97,7290,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
текстильщики,16,984057,98,12552,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
волгоградский проспект,16,1035062,99,15125,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
пролетарская,16,970860,100,5906,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
кузнецкий мост,16,976558,101,14629,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
пушкинская,16,1009284,102,7983,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
баррикадная,16,999807,103,19628,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
улица 1905 года,16,877248,104,1336,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
беговая,16,989360,105,14291,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
полежаевская,16,982670,106,10389,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
октябрьское поле,16,1016439,107,16740,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
щукинская,16,982117,108,4841,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
тушинская,16,976236,109,5230,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
сходненская,16,898956,110,12522,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
планерная,16,1003918,111,4647,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
алтуфьево,17,941963,112,4026,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
бибирево,17,1011627,113,13709,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
отрадное,17,1015733,114,14711,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
владыкино,17,947326,115,14789,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
петровско разумовская,17,1051264,116,19700,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
тимирязевская,17,1034867,117,9808,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
дмитровская,17,891605,118,7278,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
савеловская,17,1001053,119,12715,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
менделеевская,17,969563,120,12900,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
цветной бульвар,17,986038,121,5909,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
чеховская,17,958700,122,8410,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
боровицкая,17,1000793,123,6307,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
полянка,17,959397,124,3254,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
серпуховская,17,982936,125,8130,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
тульская,17,890899,126,6350,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
нагатинская,17,1053096,127,12361,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
нагорная,17,908593,128,4114,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
нахимовский проспект,17,904206,129,6849,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
севастопольская,17,993393,130,19647,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
чертановская,17,886593,131,10758,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
южная,17,1069939,132,18227,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
пражская,17,995864,133,19731,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
чкаловская,18,973600,134,4191,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
римская,18,947434,135,6743,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
крестьянская застава,18,998084,136,4156,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
кожуховская,18,1004693,137,9447,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
печатники,18,941809,138,10071,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
волжская,18,992791,139,2466,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
люблино,18,985942,140,5769,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
братиславская,18,1039411,141,9217,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
марьино,18,923896,142,14730,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
библиотека имени ленина,8,912272,143,9324,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
дубровка,18,1101372,144,16644,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
улица академика янгеля,17,1007714,145,3020,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
аннино,17,998539,146,16072,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
технопарк,609,1099786,147,2687,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
бульвар дмитрия донского,17,1029931,148,3521,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
парк победы,12,947927,149,12370,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
улица старокачаловская,1500,962016,150,11675,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
улица скобелевская,1500,1019260,151,6404,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
бульвар адмирала ушакова,1500,1030594,152,18488,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
улица горчакова,1500,1023943,153,13902,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
бунинская аллея,1500,951647,154,15721,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
трубная,18,921847,155,2190,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
строгино,12,1012689,156,12732,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
сретенский бульвар,18,975800,157,12559,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
славянский бульвар,12,869362,158,13914,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
мякинино,12,1063061,159,9558,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
волоколамская,12,1078172,160,7434,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
митино,12,1071000,161,17082,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
достоевская,18,968110,162,5087,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
марьина роща,18,951412,163,2308,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
борисово,18,1030111,164,2720,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
шипиловская,18,960681,165,1226,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
зябликово,18,939388,166,8499,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
новокосино,14,987974,167,7559,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
алма атинская,9,1066641,168,11774,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
пятницкое шоссе,12,1043525,169,17935,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
жулебино,16,924377,170,16288,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
лермонтовский проспект,16,919437,171,14324,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
котельники,16,968015,172,9103,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
битцевский парк,1500,985015,173,16833,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
лесопарковая,1500,1029489,174,3973,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
деловой центр,1691,1025400,175,7891,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
спартак,16,980418,176,7501,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
тропарево,8,946476,177,12122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
румянцево,8,989343,178,18642,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
саларьево,8,989598,179,2234,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
шелепиха,1698,1063306,180,3516,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
панфиловская,1698,1042344,181,10493,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
стрешнево,1698,990530,182,15168,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
балтийская,1698,1036688,183,17693,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
коптево,1698,956905,184,4420,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
лихоборы,1698,1007463,185,16276,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
окружная,1698,986286,186,7031,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
локомотив,1698,1021796,187,8397,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
измайлово,1698,952654,188,17811,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
андроновка,1698,1014822,189,17847,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
угрешская,1698,889901,190,16405,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
зил,1698,934525,191,7852,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
хорошево,1698,1050723,192,14832,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ростокино,1698,952708,193,16739,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
белокаменная,1698,1045003,194,17746,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
новохохловская,1698,948318,195,11413,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
верхние котлы,1698,1016424,196,14070,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
крымская,1698,1025875,197,11234,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
нижегородская,1698,945880,198,12855,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
лужники,1698,1061512,199,17937,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
москва сити,1698,994590,200,11494,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
зорге,1698,973157,201,7312,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
площадь гагарина,1698,1007367,202,5160,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
бутырская,14,894240,203,4877,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
фонвизинская,18,940759,204,13709,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
минская,14,993240,205,9539,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ломоносовский проспект,14,914226,206,13978,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
раменки,1691,998387,207,3071,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
петровский парк,1749,954547,208,5237,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ховрино,9,1067267,209,17337,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
хорошевская,1749,982807,210,6138,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
цска,1749,1039768,211,3323,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
селигерская,18,1003704,212,2451,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
верхние лихоборы,18,1102880,213,16298,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
мичуринский проспект,1691,958400,214,15198,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
озерная,1691,1065338,215,17915,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
говорово,1691,979218,216,14074,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
солнцево,1691,1049585,217,17441,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
боровское шоссе,1691,848283,218,19560,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
новопеределкино,1691,981091,219,19273,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
рассказовка,1691,897844,220,10433,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
беломорская,9,934801,221,7289,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
филатов луг,8,924230,222,8488,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
прокшино,8,919932,223,10524,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ольховая,8,985218,224,6183,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
коммунарка,8,1083355,225,16495,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
косино,1779,976973,226,15040,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
улица дмитриевского,1779,990465,227,1831,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
лухмановская,1779,947428,228,18603,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
некрасовка,1779,1000878,229,1134,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
юго восточная,1779,865366,230,4602,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
окская,1779,989340,231,6430,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
стахановская,1779,987181,232,5965,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
лефортово,1749,941432,233,6699,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
тпу рязанская,1779,977295,234,1508,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
народное ополчение,1749,1045298,235,13514,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
мневники,1749,1065330,236,10905,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
каховская,1749,865656,237,17594,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
зюзино,1749,1015735,238,5378,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
воронцовская,1749,1018661,239,17273,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
новаторская,1749,991168,240,3040,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
аминьевская,1749,1045529,241,14672,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
давыдково,1749,971763,242,6784,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
терехово,1749,1020988,243,8675,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
нагатинский затон,1749,1015410,244,7478,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
кленовый бульвар,1749,976086,245,1641,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
варшавская,1749,965541,246,15986,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
пыхтино,1691,1068748,247,8390,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
аэропорт внуково,1691,1041044,248,15787,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
яхромская,18,976780,249,9813,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
лианозово,18,959420,250,18978,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
физтех,18,957181,251,1476,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
бульвар рокоссовского,8,931919,1,15113,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
черкизовская,8,996780,2,5441,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
преображенская площадь,8,975920,3,1132,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
сокольники,8,1043897,4,10083,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
красносельская,8,983652,5,19339,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
комсомольская,8,1055535,6,15442,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
красные ворота,8,963324,7,7139,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
чистые пруды,8,930634,8,11038,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
лубянка,8,1035229,9,15482,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
охотный ряд,8,1019041,10,7671,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
кропоткинская,8,1085090,11,5076,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
парк культуры,8,905642,12,12391,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
фрунзенская,8,1013499,13,5998,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
спортивная,8,1014960,14,5511,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
воробьевы горы,8,985400,15,19841,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
университет,8,1000435,16,18249,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
проспект вернадского,8,970428,17,11774,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
юго западная,8,967974,18,9441,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
красногвардейская,9,1037838,19,9598,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
домодедовская,9,1035020,20,11461,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
орехово,9,884202,21,3636,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
царицыно,9,956463,22,10845,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
кантемировская,9,1016517,23,10743,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
коломенская,9,943983,24,8057,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
автозаводская,9,916748,25,8627,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
павелецкая,9,921935,26,1121,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
новокузнецкая,9,950479,27,7997,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
театральная,9,946775,28,8635,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
тверская,9,938994,29,8409,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
маяковская,9,948163,30,15401,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
белорусская,9,1029229,31,13164,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
динамо,9,1039735,32,13884,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
аэропорт,9,979350,33,11923,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
сокол,9,1091028,34,4221,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
войковская,9,993309,35,16737,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
водный стадион,9,1033561,36,2708,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
